Image,Mask
D:\Data\brats18\train/Image/2_28_106.npy,D:\Data\brats18\train/Mask/2_28_106.npy
D:\Data\brats18\train/Image/2_28_12.npy,D:\Data\brats18\train/Mask/2_28_12.npy
D:\Data\brats18\train/Image/2_28_13.npy,D:\Data\brats18\train/Mask/2_28_13.npy
D:\Data\brats18\train/Image/2_28_15.npy,D:\Data\brats18\train/Mask/2_28_15.npy
D:\Data\brats18\train/Image/2_28_16.npy,D:\Data\brats18\train/Mask/2_28_16.npy
D:\Data\brats18\train/Image/2_28_18.npy,D:\Data\brats18\train/Mask/2_28_18.npy
D:\Data\brats18\train/Image/2_28_19.npy,D:\Data\brats18\train/Mask/2_28_19.npy
D:\Data\brats18\train/Image/2_28_21.npy,D:\Data\brats18\train/Mask/2_28_21.npy
D:\Data\brats18\train/Image/2_28_22.npy,D:\Data\brats18\train/Mask/2_28_22.npy
D:\Data\brats18\train/Image/2_28_24.npy,D:\Data\brats18\train/Mask/2_28_24.npy
D:\Data\brats18\train/Image/2_28_25.npy,D:\Data\brats18\train/Mask/2_28_25.npy
D:\Data\brats18\train/Image/2_28_27.npy,D:\Data\brats18\train/Mask/2_28_27.npy
D:\Data\brats18\train/Image/2_28_28.npy,D:\Data\brats18\train/Mask/2_28_28.npy
D:\Data\brats18\train/Image/2_28_3.npy,D:\Data\brats18\train/Mask/2_28_3.npy
D:\Data\brats18\train/Image/2_28_30.npy,D:\Data\brats18\train/Mask/2_28_30.npy
D:\Data\brats18\train/Image/2_28_31.npy,D:\Data\brats18\train/Mask/2_28_31.npy
D:\Data\brats18\train/Image/2_28_33.npy,D:\Data\brats18\train/Mask/2_28_33.npy
D:\Data\brats18\train/Image/2_28_34.npy,D:\Data\brats18\train/Mask/2_28_34.npy
D:\Data\brats18\train/Image/2_28_36.npy,D:\Data\brats18\train/Mask/2_28_36.npy
D:\Data\brats18\train/Image/2_28_37.npy,D:\Data\brats18\train/Mask/2_28_37.npy
D:\Data\brats18\train/Image/2_28_39.npy,D:\Data\brats18\train/Mask/2_28_39.npy
D:\Data\brats18\train/Image/2_28_4.npy,D:\Data\brats18\train/Mask/2_28_4.npy
D:\Data\brats18\train/Image/2_28_40.npy,D:\Data\brats18\train/Mask/2_28_40.npy
D:\Data\brats18\train/Image/2_28_42.npy,D:\Data\brats18\train/Mask/2_28_42.npy
D:\Data\brats18\train/Image/2_28_43.npy,D:\Data\brats18\train/Mask/2_28_43.npy
D:\Data\brats18\train/Image/2_28_45.npy,D:\Data\brats18\train/Mask/2_28_45.npy
D:\Data\brats18\train/Image/2_28_46.npy,D:\Data\brats18\train/Mask/2_28_46.npy
D:\Data\brats18\train/Image/2_28_48.npy,D:\Data\brats18\train/Mask/2_28_48.npy
D:\Data\brats18\train/Image/2_28_49.npy,D:\Data\brats18\train/Mask/2_28_49.npy
D:\Data\brats18\train/Image/2_28_51.npy,D:\Data\brats18\train/Mask/2_28_51.npy
D:\Data\brats18\train/Image/2_28_52.npy,D:\Data\brats18\train/Mask/2_28_52.npy
D:\Data\brats18\train/Image/2_28_54.npy,D:\Data\brats18\train/Mask/2_28_54.npy
D:\Data\brats18\train/Image/2_28_55.npy,D:\Data\brats18\train/Mask/2_28_55.npy
D:\Data\brats18\train/Image/2_28_57.npy,D:\Data\brats18\train/Mask/2_28_57.npy
D:\Data\brats18\train/Image/2_28_58.npy,D:\Data\brats18\train/Mask/2_28_58.npy
D:\Data\brats18\train/Image/2_28_6.npy,D:\Data\brats18\train/Mask/2_28_6.npy
D:\Data\brats18\train/Image/2_28_60.npy,D:\Data\brats18\train/Mask/2_28_60.npy
D:\Data\brats18\train/Image/2_28_61.npy,D:\Data\brats18\train/Mask/2_28_61.npy
D:\Data\brats18\train/Image/2_28_63.npy,D:\Data\brats18\train/Mask/2_28_63.npy
D:\Data\brats18\train/Image/2_28_64.npy,D:\Data\brats18\train/Mask/2_28_64.npy
D:\Data\brats18\train/Image/2_28_66.npy,D:\Data\brats18\train/Mask/2_28_66.npy
D:\Data\brats18\train/Image/2_28_67.npy,D:\Data\brats18\train/Mask/2_28_67.npy
D:\Data\brats18\train/Image/2_28_69.npy,D:\Data\brats18\train/Mask/2_28_69.npy
D:\Data\brats18\train/Image/2_28_7.npy,D:\Data\brats18\train/Mask/2_28_7.npy
D:\Data\brats18\train/Image/2_28_70.npy,D:\Data\brats18\train/Mask/2_28_70.npy
D:\Data\brats18\train/Image/2_28_72.npy,D:\Data\brats18\train/Mask/2_28_72.npy
D:\Data\brats18\train/Image/2_28_73.npy,D:\Data\brats18\train/Mask/2_28_73.npy
D:\Data\brats18\train/Image/2_28_75.npy,D:\Data\brats18\train/Mask/2_28_75.npy
D:\Data\brats18\train/Image/2_28_76.npy,D:\Data\brats18\train/Mask/2_28_76.npy
D:\Data\brats18\train/Image/2_28_78.npy,D:\Data\brats18\train/Mask/2_28_78.npy
D:\Data\brats18\train/Image/2_28_79.npy,D:\Data\brats18\train/Mask/2_28_79.npy
D:\Data\brats18\train/Image/2_28_81.npy,D:\Data\brats18\train/Mask/2_28_81.npy
D:\Data\brats18\train/Image/2_28_82.npy,D:\Data\brats18\train/Mask/2_28_82.npy
D:\Data\brats18\train/Image/2_28_84.npy,D:\Data\brats18\train/Mask/2_28_84.npy
D:\Data\brats18\train/Image/2_28_85.npy,D:\Data\brats18\train/Mask/2_28_85.npy
D:\Data\brats18\train/Image/2_28_87.npy,D:\Data\brats18\train/Mask/2_28_87.npy
D:\Data\brats18\train/Image/2_28_88.npy,D:\Data\brats18\train/Mask/2_28_88.npy
D:\Data\brats18\train/Image/2_28_9.npy,D:\Data\brats18\train/Mask/2_28_9.npy
D:\Data\brats18\train/Image/2_28_90.npy,D:\Data\brats18\train/Mask/2_28_90.npy
D:\Data\brats18\train/Image/2_28_91.npy,D:\Data\brats18\train/Mask/2_28_91.npy
D:\Data\brats18\train/Image/2_28_93.npy,D:\Data\brats18\train/Mask/2_28_93.npy
D:\Data\brats18\train/Image/2_28_94.npy,D:\Data\brats18\train/Mask/2_28_94.npy
D:\Data\brats18\train/Image/2_28_96.npy,D:\Data\brats18\train/Mask/2_28_96.npy
D:\Data\brats18\train/Image/2_28_97.npy,D:\Data\brats18\train/Mask/2_28_97.npy
D:\Data\brats18\train/Image/2_28_99.npy,D:\Data\brats18\train/Mask/2_28_99.npy
D:\Data\brats18\train/Image/2_29_0.npy,D:\Data\brats18\train/Mask/2_29_0.npy
D:\Data\brats18\train/Image/2_29_1.npy,D:\Data\brats18\train/Mask/2_29_1.npy
D:\Data\brats18\train/Image/2_29_10.npy,D:\Data\brats18\train/Mask/2_29_10.npy
D:\Data\brats18\train/Image/2_29_11.npy,D:\Data\brats18\train/Mask/2_29_11.npy
D:\Data\brats18\train/Image/2_29_12.npy,D:\Data\brats18\train/Mask/2_29_12.npy
D:\Data\brats18\train/Image/2_29_13.npy,D:\Data\brats18\train/Mask/2_29_13.npy
D:\Data\brats18\train/Image/2_29_14.npy,D:\Data\brats18\train/Mask/2_29_14.npy
D:\Data\brats18\train/Image/2_29_15.npy,D:\Data\brats18\train/Mask/2_29_15.npy
D:\Data\brats18\train/Image/2_29_16.npy,D:\Data\brats18\train/Mask/2_29_16.npy
D:\Data\brats18\train/Image/2_29_17.npy,D:\Data\brats18\train/Mask/2_29_17.npy
D:\Data\brats18\train/Image/2_29_18.npy,D:\Data\brats18\train/Mask/2_29_18.npy
D:\Data\brats18\train/Image/2_29_19.npy,D:\Data\brats18\train/Mask/2_29_19.npy
D:\Data\brats18\train/Image/2_29_2.npy,D:\Data\brats18\train/Mask/2_29_2.npy
D:\Data\brats18\train/Image/2_29_20.npy,D:\Data\brats18\train/Mask/2_29_20.npy
D:\Data\brats18\train/Image/2_29_21.npy,D:\Data\brats18\train/Mask/2_29_21.npy
D:\Data\brats18\train/Image/2_29_22.npy,D:\Data\brats18\train/Mask/2_29_22.npy
D:\Data\brats18\train/Image/2_29_23.npy,D:\Data\brats18\train/Mask/2_29_23.npy
D:\Data\brats18\train/Image/2_29_24.npy,D:\Data\brats18\train/Mask/2_29_24.npy
D:\Data\brats18\train/Image/2_29_25.npy,D:\Data\brats18\train/Mask/2_29_25.npy
D:\Data\brats18\train/Image/2_29_26.npy,D:\Data\brats18\train/Mask/2_29_26.npy
D:\Data\brats18\train/Image/2_29_27.npy,D:\Data\brats18\train/Mask/2_29_27.npy
D:\Data\brats18\train/Image/2_29_28.npy,D:\Data\brats18\train/Mask/2_29_28.npy
D:\Data\brats18\train/Image/2_29_29.npy,D:\Data\brats18\train/Mask/2_29_29.npy
D:\Data\brats18\train/Image/2_29_3.npy,D:\Data\brats18\train/Mask/2_29_3.npy
D:\Data\brats18\train/Image/2_29_30.npy,D:\Data\brats18\train/Mask/2_29_30.npy
D:\Data\brats18\train/Image/2_29_31.npy,D:\Data\brats18\train/Mask/2_29_31.npy
D:\Data\brats18\train/Image/2_29_32.npy,D:\Data\brats18\train/Mask/2_29_32.npy
D:\Data\brats18\train/Image/2_29_33.npy,D:\Data\brats18\train/Mask/2_29_33.npy
D:\Data\brats18\train/Image/2_29_34.npy,D:\Data\brats18\train/Mask/2_29_34.npy
D:\Data\brats18\train/Image/2_29_35.npy,D:\Data\brats18\train/Mask/2_29_35.npy
D:\Data\brats18\train/Image/2_29_36.npy,D:\Data\brats18\train/Mask/2_29_36.npy
D:\Data\brats18\train/Image/2_29_37.npy,D:\Data\brats18\train/Mask/2_29_37.npy
D:\Data\brats18\train/Image/2_29_38.npy,D:\Data\brats18\train/Mask/2_29_38.npy
D:\Data\brats18\train/Image/2_29_39.npy,D:\Data\brats18\train/Mask/2_29_39.npy
D:\Data\brats18\train/Image/2_29_4.npy,D:\Data\brats18\train/Mask/2_29_4.npy
D:\Data\brats18\train/Image/2_29_40.npy,D:\Data\brats18\train/Mask/2_29_40.npy
D:\Data\brats18\train/Image/2_29_41.npy,D:\Data\brats18\train/Mask/2_29_41.npy
D:\Data\brats18\train/Image/2_29_42.npy,D:\Data\brats18\train/Mask/2_29_42.npy
D:\Data\brats18\train/Image/2_29_43.npy,D:\Data\brats18\train/Mask/2_29_43.npy
D:\Data\brats18\train/Image/2_29_44.npy,D:\Data\brats18\train/Mask/2_29_44.npy
D:\Data\brats18\train/Image/2_29_45.npy,D:\Data\brats18\train/Mask/2_29_45.npy
D:\Data\brats18\train/Image/2_29_46.npy,D:\Data\brats18\train/Mask/2_29_46.npy
D:\Data\brats18\train/Image/2_29_47.npy,D:\Data\brats18\train/Mask/2_29_47.npy
D:\Data\brats18\train/Image/2_29_48.npy,D:\Data\brats18\train/Mask/2_29_48.npy
D:\Data\brats18\train/Image/2_29_49.npy,D:\Data\brats18\train/Mask/2_29_49.npy
D:\Data\brats18\train/Image/2_29_5.npy,D:\Data\brats18\train/Mask/2_29_5.npy
D:\Data\brats18\train/Image/2_29_50.npy,D:\Data\brats18\train/Mask/2_29_50.npy
D:\Data\brats18\train/Image/2_29_51.npy,D:\Data\brats18\train/Mask/2_29_51.npy
D:\Data\brats18\train/Image/2_29_52.npy,D:\Data\brats18\train/Mask/2_29_52.npy
D:\Data\brats18\train/Image/2_29_53.npy,D:\Data\brats18\train/Mask/2_29_53.npy
D:\Data\brats18\train/Image/2_29_54.npy,D:\Data\brats18\train/Mask/2_29_54.npy
D:\Data\brats18\train/Image/2_29_55.npy,D:\Data\brats18\train/Mask/2_29_55.npy
D:\Data\brats18\train/Image/2_29_56.npy,D:\Data\brats18\train/Mask/2_29_56.npy
D:\Data\brats18\train/Image/2_29_57.npy,D:\Data\brats18\train/Mask/2_29_57.npy
D:\Data\brats18\train/Image/2_29_58.npy,D:\Data\brats18\train/Mask/2_29_58.npy
D:\Data\brats18\train/Image/2_29_59.npy,D:\Data\brats18\train/Mask/2_29_59.npy
D:\Data\brats18\train/Image/2_29_6.npy,D:\Data\brats18\train/Mask/2_29_6.npy
D:\Data\brats18\train/Image/2_29_60.npy,D:\Data\brats18\train/Mask/2_29_60.npy
D:\Data\brats18\train/Image/2_29_61.npy,D:\Data\brats18\train/Mask/2_29_61.npy
D:\Data\brats18\train/Image/2_29_62.npy,D:\Data\brats18\train/Mask/2_29_62.npy
D:\Data\brats18\train/Image/2_29_63.npy,D:\Data\brats18\train/Mask/2_29_63.npy
D:\Data\brats18\train/Image/2_29_64.npy,D:\Data\brats18\train/Mask/2_29_64.npy
D:\Data\brats18\train/Image/2_29_65.npy,D:\Data\brats18\train/Mask/2_29_65.npy
D:\Data\brats18\train/Image/2_29_66.npy,D:\Data\brats18\train/Mask/2_29_66.npy
D:\Data\brats18\train/Image/2_29_67.npy,D:\Data\brats18\train/Mask/2_29_67.npy
D:\Data\brats18\train/Image/2_29_68.npy,D:\Data\brats18\train/Mask/2_29_68.npy
D:\Data\brats18\train/Image/2_29_69.npy,D:\Data\brats18\train/Mask/2_29_69.npy
D:\Data\brats18\train/Image/2_29_7.npy,D:\Data\brats18\train/Mask/2_29_7.npy
D:\Data\brats18\train/Image/2_29_70.npy,D:\Data\brats18\train/Mask/2_29_70.npy
D:\Data\brats18\train/Image/2_29_71.npy,D:\Data\brats18\train/Mask/2_29_71.npy
D:\Data\brats18\train/Image/2_29_72.npy,D:\Data\brats18\train/Mask/2_29_72.npy
D:\Data\brats18\train/Image/2_29_73.npy,D:\Data\brats18\train/Mask/2_29_73.npy
D:\Data\brats18\train/Image/2_29_74.npy,D:\Data\brats18\train/Mask/2_29_74.npy
D:\Data\brats18\train/Image/2_29_75.npy,D:\Data\brats18\train/Mask/2_29_75.npy
D:\Data\brats18\train/Image/2_29_76.npy,D:\Data\brats18\train/Mask/2_29_76.npy
D:\Data\brats18\train/Image/2_29_77.npy,D:\Data\brats18\train/Mask/2_29_77.npy
D:\Data\brats18\train/Image/2_29_78.npy,D:\Data\brats18\train/Mask/2_29_78.npy
D:\Data\brats18\train/Image/2_29_79.npy,D:\Data\brats18\train/Mask/2_29_79.npy
D:\Data\brats18\train/Image/2_29_8.npy,D:\Data\brats18\train/Mask/2_29_8.npy
D:\Data\brats18\train/Image/2_29_80.npy,D:\Data\brats18\train/Mask/2_29_80.npy
D:\Data\brats18\train/Image/2_29_81.npy,D:\Data\brats18\train/Mask/2_29_81.npy
D:\Data\brats18\train/Image/2_29_82.npy,D:\Data\brats18\train/Mask/2_29_82.npy
D:\Data\brats18\train/Image/2_29_84.npy,D:\Data\brats18\train/Mask/2_29_84.npy
D:\Data\brats18\train/Image/2_29_85.npy,D:\Data\brats18\train/Mask/2_29_85.npy
D:\Data\brats18\train/Image/2_29_87.npy,D:\Data\brats18\train/Mask/2_29_87.npy
D:\Data\brats18\train/Image/2_29_88.npy,D:\Data\brats18\train/Mask/2_29_88.npy
D:\Data\brats18\train/Image/2_29_9.npy,D:\Data\brats18\train/Mask/2_29_9.npy
D:\Data\brats18\train/Image/2_29_90.npy,D:\Data\brats18\train/Mask/2_29_90.npy
D:\Data\brats18\train/Image/2_29_91.npy,D:\Data\brats18\train/Mask/2_29_91.npy
D:\Data\brats18\train/Image/2_29_93.npy,D:\Data\brats18\train/Mask/2_29_93.npy
D:\Data\brats18\train/Image/2_29_94.npy,D:\Data\brats18\train/Mask/2_29_94.npy
D:\Data\brats18\train/Image/2_29_96.npy,D:\Data\brats18\train/Mask/2_29_96.npy
D:\Data\brats18\train/Image/2_29_97.npy,D:\Data\brats18\train/Mask/2_29_97.npy
D:\Data\brats18\train/Image/2_2_1.npy,D:\Data\brats18\train/Mask/2_2_1.npy
D:\Data\brats18\train/Image/2_2_10.npy,D:\Data\brats18\train/Mask/2_2_10.npy
D:\Data\brats18\train/Image/2_2_100.npy,D:\Data\brats18\train/Mask/2_2_100.npy
D:\Data\brats18\train/Image/2_2_101.npy,D:\Data\brats18\train/Mask/2_2_101.npy
D:\Data\brats18\train/Image/2_2_102.npy,D:\Data\brats18\train/Mask/2_2_102.npy
D:\Data\brats18\train/Image/2_2_103.npy,D:\Data\brats18\train/Mask/2_2_103.npy
D:\Data\brats18\train/Image/2_2_104.npy,D:\Data\brats18\train/Mask/2_2_104.npy
D:\Data\brats18\train/Image/2_2_105.npy,D:\Data\brats18\train/Mask/2_2_105.npy
D:\Data\brats18\train/Image/2_2_106.npy,D:\Data\brats18\train/Mask/2_2_106.npy
D:\Data\brats18\train/Image/2_2_107.npy,D:\Data\brats18\train/Mask/2_2_107.npy
D:\Data\brats18\train/Image/2_2_108.npy,D:\Data\brats18\train/Mask/2_2_108.npy
D:\Data\brats18\train/Image/2_2_109.npy,D:\Data\brats18\train/Mask/2_2_109.npy
D:\Data\brats18\train/Image/2_2_11.npy,D:\Data\brats18\train/Mask/2_2_11.npy
D:\Data\brats18\train/Image/2_2_110.npy,D:\Data\brats18\train/Mask/2_2_110.npy
D:\Data\brats18\train/Image/2_2_111.npy,D:\Data\brats18\train/Mask/2_2_111.npy
D:\Data\brats18\train/Image/2_2_112.npy,D:\Data\brats18\train/Mask/2_2_112.npy
D:\Data\brats18\train/Image/2_2_113.npy,D:\Data\brats18\train/Mask/2_2_113.npy
D:\Data\brats18\train/Image/2_2_114.npy,D:\Data\brats18\train/Mask/2_2_114.npy
D:\Data\brats18\train/Image/2_2_115.npy,D:\Data\brats18\train/Mask/2_2_115.npy
D:\Data\brats18\train/Image/2_2_116.npy,D:\Data\brats18\train/Mask/2_2_116.npy
D:\Data\brats18\train/Image/2_2_117.npy,D:\Data\brats18\train/Mask/2_2_117.npy
D:\Data\brats18\train/Image/2_2_118.npy,D:\Data\brats18\train/Mask/2_2_118.npy
D:\Data\brats18\train/Image/2_2_119.npy,D:\Data\brats18\train/Mask/2_2_119.npy
D:\Data\brats18\train/Image/2_2_120.npy,D:\Data\brats18\train/Mask/2_2_120.npy
D:\Data\brats18\train/Image/2_2_121.npy,D:\Data\brats18\train/Mask/2_2_121.npy
D:\Data\brats18\train/Image/2_2_122.npy,D:\Data\brats18\train/Mask/2_2_122.npy
D:\Data\brats18\train/Image/2_2_123.npy,D:\Data\brats18\train/Mask/2_2_123.npy
D:\Data\brats18\train/Image/2_2_124.npy,D:\Data\brats18\train/Mask/2_2_124.npy
D:\Data\brats18\train/Image/2_2_125.npy,D:\Data\brats18\train/Mask/2_2_125.npy
D:\Data\brats18\train/Image/2_2_13.npy,D:\Data\brats18\train/Mask/2_2_13.npy
D:\Data\brats18\train/Image/2_2_14.npy,D:\Data\brats18\train/Mask/2_2_14.npy
D:\Data\brats18\train/Image/2_2_16.npy,D:\Data\brats18\train/Mask/2_2_16.npy
D:\Data\brats18\train/Image/2_2_17.npy,D:\Data\brats18\train/Mask/2_2_17.npy
D:\Data\brats18\train/Image/2_2_19.npy,D:\Data\brats18\train/Mask/2_2_19.npy
D:\Data\brats18\train/Image/2_2_2.npy,D:\Data\brats18\train/Mask/2_2_2.npy
D:\Data\brats18\train/Image/2_2_20.npy,D:\Data\brats18\train/Mask/2_2_20.npy
D:\Data\brats18\train/Image/2_2_22.npy,D:\Data\brats18\train/Mask/2_2_22.npy
D:\Data\brats18\train/Image/2_2_23.npy,D:\Data\brats18\train/Mask/2_2_23.npy
D:\Data\brats18\train/Image/2_2_25.npy,D:\Data\brats18\train/Mask/2_2_25.npy
D:\Data\brats18\train/Image/2_2_26.npy,D:\Data\brats18\train/Mask/2_2_26.npy
D:\Data\brats18\train/Image/2_2_28.npy,D:\Data\brats18\train/Mask/2_2_28.npy
D:\Data\brats18\train/Image/2_2_29.npy,D:\Data\brats18\train/Mask/2_2_29.npy
D:\Data\brats18\train/Image/2_2_31.npy,D:\Data\brats18\train/Mask/2_2_31.npy
D:\Data\brats18\train/Image/2_2_32.npy,D:\Data\brats18\train/Mask/2_2_32.npy
D:\Data\brats18\train/Image/2_2_34.npy,D:\Data\brats18\train/Mask/2_2_34.npy
D:\Data\brats18\train/Image/2_2_35.npy,D:\Data\brats18\train/Mask/2_2_35.npy
D:\Data\brats18\train/Image/2_2_37.npy,D:\Data\brats18\train/Mask/2_2_37.npy
D:\Data\brats18\train/Image/2_2_38.npy,D:\Data\brats18\train/Mask/2_2_38.npy
D:\Data\brats18\train/Image/2_2_4.npy,D:\Data\brats18\train/Mask/2_2_4.npy
D:\Data\brats18\train/Image/2_2_40.npy,D:\Data\brats18\train/Mask/2_2_40.npy
D:\Data\brats18\train/Image/2_2_41.npy,D:\Data\brats18\train/Mask/2_2_41.npy
D:\Data\brats18\train/Image/2_2_43.npy,D:\Data\brats18\train/Mask/2_2_43.npy
D:\Data\brats18\train/Image/2_2_44.npy,D:\Data\brats18\train/Mask/2_2_44.npy
D:\Data\brats18\train/Image/2_2_45.npy,D:\Data\brats18\train/Mask/2_2_45.npy
D:\Data\brats18\train/Image/2_2_46.npy,D:\Data\brats18\train/Mask/2_2_46.npy
D:\Data\brats18\train/Image/2_2_47.npy,D:\Data\brats18\train/Mask/2_2_47.npy
D:\Data\brats18\train/Image/2_2_48.npy,D:\Data\brats18\train/Mask/2_2_48.npy
D:\Data\brats18\train/Image/2_2_49.npy,D:\Data\brats18\train/Mask/2_2_49.npy
D:\Data\brats18\train/Image/2_2_5.npy,D:\Data\brats18\train/Mask/2_2_5.npy
D:\Data\brats18\train/Image/2_2_50.npy,D:\Data\brats18\train/Mask/2_2_50.npy
D:\Data\brats18\train/Image/2_2_51.npy,D:\Data\brats18\train/Mask/2_2_51.npy
D:\Data\brats18\train/Image/2_2_52.npy,D:\Data\brats18\train/Mask/2_2_52.npy
D:\Data\brats18\train/Image/2_2_53.npy,D:\Data\brats18\train/Mask/2_2_53.npy
D:\Data\brats18\train/Image/2_2_54.npy,D:\Data\brats18\train/Mask/2_2_54.npy
D:\Data\brats18\train/Image/2_2_55.npy,D:\Data\brats18\train/Mask/2_2_55.npy
D:\Data\brats18\train/Image/2_2_56.npy,D:\Data\brats18\train/Mask/2_2_56.npy
D:\Data\brats18\train/Image/2_2_57.npy,D:\Data\brats18\train/Mask/2_2_57.npy
D:\Data\brats18\train/Image/2_2_58.npy,D:\Data\brats18\train/Mask/2_2_58.npy
D:\Data\brats18\train/Image/2_2_59.npy,D:\Data\brats18\train/Mask/2_2_59.npy
D:\Data\brats18\train/Image/2_2_60.npy,D:\Data\brats18\train/Mask/2_2_60.npy
D:\Data\brats18\train/Image/2_2_61.npy,D:\Data\brats18\train/Mask/2_2_61.npy
D:\Data\brats18\train/Image/2_2_62.npy,D:\Data\brats18\train/Mask/2_2_62.npy
D:\Data\brats18\train/Image/2_2_63.npy,D:\Data\brats18\train/Mask/2_2_63.npy
D:\Data\brats18\train/Image/2_2_64.npy,D:\Data\brats18\train/Mask/2_2_64.npy
D:\Data\brats18\train/Image/2_2_65.npy,D:\Data\brats18\train/Mask/2_2_65.npy
D:\Data\brats18\train/Image/2_2_66.npy,D:\Data\brats18\train/Mask/2_2_66.npy
D:\Data\brats18\train/Image/2_2_67.npy,D:\Data\brats18\train/Mask/2_2_67.npy
D:\Data\brats18\train/Image/2_2_68.npy,D:\Data\brats18\train/Mask/2_2_68.npy
D:\Data\brats18\train/Image/2_2_69.npy,D:\Data\brats18\train/Mask/2_2_69.npy
D:\Data\brats18\train/Image/2_2_7.npy,D:\Data\brats18\train/Mask/2_2_7.npy
D:\Data\brats18\train/Image/2_2_70.npy,D:\Data\brats18\train/Mask/2_2_70.npy
D:\Data\brats18\train/Image/2_2_71.npy,D:\Data\brats18\train/Mask/2_2_71.npy
D:\Data\brats18\train/Image/2_2_72.npy,D:\Data\brats18\train/Mask/2_2_72.npy
D:\Data\brats18\train/Image/2_2_73.npy,D:\Data\brats18\train/Mask/2_2_73.npy
D:\Data\brats18\train/Image/2_2_74.npy,D:\Data\brats18\train/Mask/2_2_74.npy
D:\Data\brats18\train/Image/2_2_75.npy,D:\Data\brats18\train/Mask/2_2_75.npy
D:\Data\brats18\train/Image/2_2_76.npy,D:\Data\brats18\train/Mask/2_2_76.npy
D:\Data\brats18\train/Image/2_2_77.npy,D:\Data\brats18\train/Mask/2_2_77.npy
D:\Data\brats18\train/Image/2_2_78.npy,D:\Data\brats18\train/Mask/2_2_78.npy
D:\Data\brats18\train/Image/2_2_79.npy,D:\Data\brats18\train/Mask/2_2_79.npy
D:\Data\brats18\train/Image/2_2_8.npy,D:\Data\brats18\train/Mask/2_2_8.npy
D:\Data\brats18\train/Image/2_2_80.npy,D:\Data\brats18\train/Mask/2_2_80.npy
D:\Data\brats18\train/Image/2_2_81.npy,D:\Data\brats18\train/Mask/2_2_81.npy
D:\Data\brats18\train/Image/2_2_82.npy,D:\Data\brats18\train/Mask/2_2_82.npy
D:\Data\brats18\train/Image/2_2_83.npy,D:\Data\brats18\train/Mask/2_2_83.npy
D:\Data\brats18\train/Image/2_2_84.npy,D:\Data\brats18\train/Mask/2_2_84.npy
D:\Data\brats18\train/Image/2_2_85.npy,D:\Data\brats18\train/Mask/2_2_85.npy
D:\Data\brats18\train/Image/2_2_86.npy,D:\Data\brats18\train/Mask/2_2_86.npy
D:\Data\brats18\train/Image/2_2_87.npy,D:\Data\brats18\train/Mask/2_2_87.npy
D:\Data\brats18\train/Image/2_2_88.npy,D:\Data\brats18\train/Mask/2_2_88.npy
D:\Data\brats18\train/Image/2_2_89.npy,D:\Data\brats18\train/Mask/2_2_89.npy
D:\Data\brats18\train/Image/2_2_90.npy,D:\Data\brats18\train/Mask/2_2_90.npy
D:\Data\brats18\train/Image/2_2_91.npy,D:\Data\brats18\train/Mask/2_2_91.npy
D:\Data\brats18\train/Image/2_2_92.npy,D:\Data\brats18\train/Mask/2_2_92.npy
D:\Data\brats18\train/Image/2_2_93.npy,D:\Data\brats18\train/Mask/2_2_93.npy
D:\Data\brats18\train/Image/2_2_94.npy,D:\Data\brats18\train/Mask/2_2_94.npy
D:\Data\brats18\train/Image/2_2_95.npy,D:\Data\brats18\train/Mask/2_2_95.npy
D:\Data\brats18\train/Image/2_2_96.npy,D:\Data\brats18\train/Mask/2_2_96.npy
D:\Data\brats18\train/Image/2_2_97.npy,D:\Data\brats18\train/Mask/2_2_97.npy
D:\Data\brats18\train/Image/2_2_98.npy,D:\Data\brats18\train/Mask/2_2_98.npy
D:\Data\brats18\train/Image/2_2_99.npy,D:\Data\brats18\train/Mask/2_2_99.npy
D:\Data\brats18\train/Image/2_30_10.npy,D:\Data\brats18\train/Mask/2_30_10.npy
D:\Data\brats18\train/Image/2_30_100.npy,D:\Data\brats18\train/Mask/2_30_100.npy
D:\Data\brats18\train/Image/2_30_101.npy,D:\Data\brats18\train/Mask/2_30_101.npy
D:\Data\brats18\train/Image/2_30_102.npy,D:\Data\brats18\train/Mask/2_30_102.npy
D:\Data\brats18\train/Image/2_30_103.npy,D:\Data\brats18\train/Mask/2_30_103.npy
D:\Data\brats18\train/Image/2_30_104.npy,D:\Data\brats18\train/Mask/2_30_104.npy
D:\Data\brats18\train/Image/2_30_105.npy,D:\Data\brats18\train/Mask/2_30_105.npy
D:\Data\brats18\train/Image/2_30_106.npy,D:\Data\brats18\train/Mask/2_30_106.npy
D:\Data\brats18\train/Image/2_30_107.npy,D:\Data\brats18\train/Mask/2_30_107.npy
D:\Data\brats18\train/Image/2_30_108.npy,D:\Data\brats18\train/Mask/2_30_108.npy
D:\Data\brats18\train/Image/2_30_109.npy,D:\Data\brats18\train/Mask/2_30_109.npy
D:\Data\brats18\train/Image/2_30_11.npy,D:\Data\brats18\train/Mask/2_30_11.npy
D:\Data\brats18\train/Image/2_30_110.npy,D:\Data\brats18\train/Mask/2_30_110.npy
D:\Data\brats18\train/Image/2_30_111.npy,D:\Data\brats18\train/Mask/2_30_111.npy
D:\Data\brats18\train/Image/2_30_112.npy,D:\Data\brats18\train/Mask/2_30_112.npy
D:\Data\brats18\train/Image/2_30_113.npy,D:\Data\brats18\train/Mask/2_30_113.npy
